3.6774 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
201.2349 	EXP 	fixation: autoDraw = True
202.2447 	EXP 	fixation: autoDraw = False
202.2614 	EXP 	grating: autoDraw = True
202.2614 	EXP 	grating: tex = 'sin'
202.5611 	EXP 	grating: autoDraw = False
202.6655 	EXP 	window1: recordFrameIntervals = False
202.6664 	DATA 	Keypress: left
202.6776 	EXP 	fixation: autoDraw = False
202.6776 	EXP 	grating: autoDraw = False
202.6778 	EXP 	window1: recordFrameIntervals = False
203.6554 	EXP 	fixation: autoDraw = True
204.6595 	EXP 	fixation: autoDraw = False
204.6763 	EXP 	grating: autoDraw = True
204.6763 	EXP 	grating: tex = 'sin'
204.9757 	EXP 	grating: autoDraw = False
205.1098 	EXP 	window1: recordFrameIntervals = False
205.1103 	DATA 	Keypress: right
205.1257 	EXP 	fixation: autoDraw = False
205.1257 	EXP 	grating: autoDraw = False
205.1258 	EXP 	window1: recordFrameIntervals = False
206.0971 	EXP 	fixation: autoDraw = True
207.1073 	EXP 	fixation: autoDraw = False
207.1239 	EXP 	grating: autoDraw = True
207.1239 	EXP 	grating: tex = 'sin'
207.4237 	EXP 	grating: autoDraw = False
207.5254 	EXP 	window1: recordFrameIntervals = False
207.5276 	DATA 	Keypress: left
207.5403 	EXP 	fixation: autoDraw = False
207.5403 	EXP 	grating: autoDraw = False
207.5405 	EXP 	window1: recordFrameIntervals = False
208.5137 	EXP 	fixation: autoDraw = True
209.5219 	EXP 	fixation: autoDraw = False
209.5387 	EXP 	grating: autoDraw = True
209.5387 	EXP 	grating: tex = 'sin'
209.8383 	EXP 	grating: autoDraw = False
209.9402 	EXP 	window1: recordFrameIntervals = False
209.9411 	DATA 	Keypress: left
209.9549 	EXP 	fixation: autoDraw = False
209.9549 	EXP 	grating: autoDraw = False
209.9552 	EXP 	window1: recordFrameIntervals = False
210.9290 	EXP 	fixation: autoDraw = True
211.9367 	EXP 	fixation: autoDraw = False
211.9534 	EXP 	grating: autoDraw = True
211.9534 	EXP 	grating: tex = 'sin'
212.2530 	EXP 	grating: autoDraw = False
212.3711 	EXP 	window1: recordFrameIntervals = False
212.3732 	DATA 	Keypress: right
212.3863 	EXP 	fixation: autoDraw = False
212.3863 	EXP 	grating: autoDraw = False
212.3864 	EXP 	window1: recordFrameIntervals = False
213.3589 	EXP 	fixation: autoDraw = True
214.3680 	EXP 	fixation: autoDraw = False
214.3846 	EXP 	grating: autoDraw = True
214.3846 	EXP 	grating: tex = 'sin'
214.6844 	EXP 	grating: autoDraw = False
214.7855 	EXP 	window1: recordFrameIntervals = False
214.7861 	DATA 	Keypress: left
214.8009 	EXP 	fixation: autoDraw = False
214.8009 	EXP 	grating: autoDraw = False
214.8011 	EXP 	window1: recordFrameIntervals = False
215.8001 	EXP 	fixation: autoDraw = True
216.7993 	EXP 	fixation: autoDraw = False
216.7993 	EXP 	grating: autoDraw = True
216.7993 	EXP 	grating: tex = 'sin'
217.0991 	EXP 	grating: autoDraw = False
217.2004 	EXP 	window1: recordFrameIntervals = False
217.2011 	DATA 	Keypress: right
217.2158 	EXP 	fixation: autoDraw = False
217.2158 	EXP 	grating: autoDraw = False
217.2160 	EXP 	window1: recordFrameIntervals = False
218.1887 	EXP 	fixation: autoDraw = True
219.1973 	EXP 	fixation: autoDraw = False
219.2142 	EXP 	grating: autoDraw = True
219.2142 	EXP 	grating: tex = 'sin'
219.5140 	EXP 	grating: autoDraw = False
219.5820 	EXP 	window1: recordFrameIntervals = False
219.5827 	DATA 	Keypress: left
219.5970 	EXP 	fixation: autoDraw = False
219.5970 	EXP 	grating: autoDraw = False
219.5971 	EXP 	window1: recordFrameIntervals = False
220.5721 	EXP 	fixation: autoDraw = True
221.5789 	EXP 	fixation: autoDraw = False
221.5955 	EXP 	grating: autoDraw = True
221.5955 	EXP 	grating: tex = 'sin'
221.8952 	EXP 	grating: autoDraw = False
221.9299 	EXP 	window1: recordFrameIntervals = False
221.9307 	DATA 	Keypress: left
221.9453 	EXP 	fixation: autoDraw = False
221.9453 	EXP 	grating: autoDraw = False
221.9455 	EXP 	window1: recordFrameIntervals = False
222.9179 	EXP 	fixation: autoDraw = True
223.9267 	EXP 	fixation: autoDraw = False
223.9437 	EXP 	grating: autoDraw = True
223.9437 	EXP 	grating: tex = 'sin'
224.2433 	EXP 	grating: autoDraw = False
224.3276 	EXP 	window1: recordFrameIntervals = False
224.3283 	DATA 	Keypress: right
224.3431 	EXP 	fixation: autoDraw = False
224.3431 	EXP 	grating: autoDraw = False
224.3433 	EXP 	window1: recordFrameIntervals = False
225.3155 	EXP 	fixation: autoDraw = True
226.3249 	EXP 	fixation: autoDraw = False
226.3416 	EXP 	grating: autoDraw = True
226.3416 	EXP 	grating: tex = 'sin'
226.6413 	EXP 	grating: autoDraw = False
226.8091 	EXP 	window1: recordFrameIntervals = False
226.8097 	DATA 	Keypress: right
226.8245 	EXP 	fixation: autoDraw = False
226.8245 	EXP 	grating: autoDraw = False
226.8246 	EXP 	window1: recordFrameIntervals = False
227.7961 	EXP 	fixation: autoDraw = True
228.8061 	EXP 	fixation: autoDraw = False
228.8230 	EXP 	grating: autoDraw = True
228.8230 	EXP 	grating: tex = 'sin'
229.1226 	EXP 	grating: autoDraw = False
229.1739 	EXP 	window1: recordFrameIntervals = False
229.1748 	DATA 	Keypress: left
229.1892 	EXP 	fixation: autoDraw = False
229.1892 	EXP 	grating: autoDraw = False
229.1894 	EXP 	window1: recordFrameIntervals = False
230.1618 	EXP 	fixation: autoDraw = True
231.1709 	EXP 	fixation: autoDraw = False
231.1877 	EXP 	grating: autoDraw = True
231.1877 	EXP 	grating: tex = 'sin'
231.4873 	EXP 	grating: autoDraw = False
231.5558 	EXP 	window1: recordFrameIntervals = False
231.5565 	DATA 	Keypress: left
231.5706 	EXP 	fixation: autoDraw = False
231.5706 	EXP 	grating: autoDraw = False
231.5708 	EXP 	window1: recordFrameIntervals = False
232.5440 	EXP 	fixation: autoDraw = True
233.5522 	EXP 	fixation: autoDraw = False
233.5690 	EXP 	grating: autoDraw = True
233.5690 	EXP 	grating: tex = 'sin'
233.8687 	EXP 	grating: autoDraw = False
233.9704 	EXP 	window1: recordFrameIntervals = False
233.9712 	DATA 	Keypress: left
233.9852 	EXP 	fixation: autoDraw = False
233.9852 	EXP 	grating: autoDraw = False
233.9854 	EXP 	window1: recordFrameIntervals = False
234.9607 	EXP 	fixation: autoDraw = True
235.9669 	EXP 	fixation: autoDraw = False
235.9836 	EXP 	grating: autoDraw = True
235.9836 	EXP 	grating: tex = 'sin'
236.2833 	EXP 	grating: autoDraw = False
236.4015 	EXP 	window1: recordFrameIntervals = False
236.4023 	DATA 	Keypress: right
236.4167 	EXP 	fixation: autoDraw = False
236.4167 	EXP 	grating: autoDraw = False
236.4169 	EXP 	window1: recordFrameIntervals = False
237.3900 	EXP 	fixation: autoDraw = True
238.3983 	EXP 	fixation: autoDraw = False
238.4150 	EXP 	grating: autoDraw = True
238.4150 	EXP 	grating: tex = 'sin'
238.7147 	EXP 	grating: autoDraw = False
238.7826 	EXP 	window1: recordFrameIntervals = False
238.7833 	DATA 	Keypress: right
238.7980 	EXP 	fixation: autoDraw = False
238.7980 	EXP 	grating: autoDraw = False
238.7981 	EXP 	window1: recordFrameIntervals = False
239.7698 	EXP 	fixation: autoDraw = True
240.7797 	EXP 	fixation: autoDraw = False
240.7964 	EXP 	grating: autoDraw = True
240.7964 	EXP 	grating: tex = 'sin'
241.0961 	EXP 	grating: autoDraw = False
241.1641 	EXP 	window1: recordFrameIntervals = False
241.1648 	DATA 	Keypress: right
241.1794 	EXP 	fixation: autoDraw = False
241.1794 	EXP 	grating: autoDraw = False
241.1795 	EXP 	window1: recordFrameIntervals = False
242.1513 	EXP 	fixation: autoDraw = True
243.1611 	EXP 	fixation: autoDraw = False
243.1779 	EXP 	grating: autoDraw = True
243.1779 	EXP 	grating: tex = 'sin'
243.4774 	EXP 	grating: autoDraw = False
243.6455 	EXP 	window1: recordFrameIntervals = False
243.6463 	DATA 	Keypress: right
243.6606 	EXP 	fixation: autoDraw = False
243.6606 	EXP 	grating: autoDraw = False
243.6607 	EXP 	window1: recordFrameIntervals = False
244.6343 	EXP 	fixation: autoDraw = True
245.6423 	EXP 	fixation: autoDraw = False
245.6590 	EXP 	grating: autoDraw = True
245.6590 	EXP 	grating: tex = 'sin'
245.9587 	EXP 	grating: autoDraw = False
246.1101 	EXP 	window1: recordFrameIntervals = False
246.1110 	DATA 	Keypress: right
246.1253 	EXP 	fixation: autoDraw = False
246.1253 	EXP 	grating: autoDraw = False
246.1255 	EXP 	window1: recordFrameIntervals = False
247.0995 	EXP 	fixation: autoDraw = True
248.1070 	EXP 	fixation: autoDraw = False
248.1237 	EXP 	grating: autoDraw = True
248.1237 	EXP 	grating: tex = 'sin'
248.4234 	EXP 	grating: autoDraw = False
248.4581 	EXP 	window1: recordFrameIntervals = False
248.4588 	DATA 	Keypress: left
